line_no	type	sample
30552	敏感词:漠尘	“小姑娘，你这话是什么意思？”古月漠尘声音低沉下来。
30558	敏感词:王二	“你们想岔了。”铁若男却摇头,“〖真〗实的情况，是方正滥杀无辜，杀害了王老汉一家，引起王二的报复。但王二并不知道方源有一个胞弟，他将方正误认为是方源，因此出手袭杀报仇。”
30576	敏感词:王二	“方源杀了王二的父亲，王二来报复，结果找到了方正。原来如此……。”
30612	敏感词:王二	“杀了便杀了。我的故事，并不需要倾述。但是我事先并不知道，失踪的王二会是一位魔道蛊师。也算计不到，方正会遭受牵连。”方源实话实说道。
30674	敏感词:王二	“贾金生的案件，时隔很久，处处透着蹊跷和神秘。到目前为止，贾金生的尸体都没有出现，甚至连案发现场都不能推断。这件案子太干净了，让我无处着手。只有一个最大的嫌疑人方源。尽管王二的线索也断了，也没有任何的证据指证他就是凶手。但是在没有其他目标的
30698	敏感词:漠尘	看着面前姿态悠闲的方源，古月漠尘辛苦地忍着感到自己的额头上青筋都在跳。
30706	敏感词:漠尘	“但方源这小兔崽子也太可恶了，漫天要价，真的以为我漠脉日进斗金吗？”古月漠尘一边在心中狠狠地咒骂着，一边脸上堆起和煦的微笑，以商量的口吻道，“方源家老，你这价格实在太狠了点，大大超出了我漠脉的承受底线。不能再降低一点吗？”
30708	敏感词:漠尘	方源看了古月漠尘一眼，面前这老人能屈能伸，倒值得敬佩。
30716	敏感词:漠尘	古月漠尘听了，忍不住又揉了揉眉头，沉声道：“生铁蛊可以先给你，但往生革蛊，我漠脉库存中真的没有。四万元石一时间也拿不出全部，只能分期给你。”
30718	敏感词:漠尘	方源知道古月漠尘这老狐狸没有说实话，但他却也明白再咄咄逼人，反而会适得其反。
30724	敏感词:漠尘	半晌后，古月漠尘蓦地开口：“你出来吧。”
30730	敏感词:漠尘	古月漠尘长叹一口气：“家★族的情况你也相当的清楚，漠颜，家★族需要你的牺牲，你能理解吗？”
30816	敏感词:漠尘	“春秋蝉恢复速度越来越快，照此下去，恐怕我没有多少时间了。等到古月漠尘那边的四万元石到手，就摘下天元宝莲，离开这里。铁家父女那边，也只能走一步算一步了。”
31684	敏感词:漠尘	“先前同窗聚会，供奉上来的一万元石，再加上古月漠尘分期供给的四万元石，都已经投入进去。怎么这天元宝莲，还未显出实体？”
32614	敏感词:漠尘	熊家的蛊师们一阵骚动，兴奋。古月一族却神色复杂得多。这熊骄姓自熊力死后，成为熊家当仁不让的第一俊杰。反观古月一族，青书死后，漠尘也陨落。方源虽然晋升三转，但他的资质，只有丙等，难以寄予厚望。
40562	敏感词:王大	这是两只千兽王大战！
51032	敏感词:王大	“刚刚王大汗和马德全的战斗看了没？很精彩啊！”
53270	拼音残留	第九十一节：方源vs李好（上）
53504	拼音残留	第九十二节：方源vs李好（下）
54962	拼音残留	第九十九节：白凝冰vs铁刀苦
55390	拼音残留	第一百零一节：方源vs朱八（上）
55640	拼音残留	第一百零二节：方源vs朱八（下）
58884	拼音残留	第一百一十八节：方源vs巨开碑（上）
59132	拼音残留	第一百一十九节：方源vs巨开碑（中）
59332	拼音残留	第一百二十节：方源vs巨开碑（下）
62460	英文残留	()    山石迸溅，群鳄哀嚎。(an.C oM)
62632	英文残留	()    “两个年轻的小娃娃，留下你们的元石，扒光你们的衣服，再向爷爷我磕三个响头，我就饶你们一条小命。(an.C oM)嘎嘎嘎……”
62832	英文残留	()    听到方源这么一说，十暴君的几位成员脸色都缓和下来。(an.C oM)
62920	敏感词:王大	但她旋即恢复过来，殷红的小嘴微微翘起：“想不到奴家的区区贱名，也被小兽王大人得知，奴家真是荣幸呀。只是，在之前奴家还未撕破伪装，大人您又是如何看破的呢？”
64752	敏感词:王大	他忽然跪倒在地上，向方源大声的哀求道：“小兽王大人，求求你绕我一命吧！我会给你做牛做马，来报答你的恩情。您是天才，是妖孽般的天才！我和你交战，也是斗胆心寒迫不得已啊。您在奴道上的造诣，让我佩服得五体投地。小兽王大人，从今以后，您就是我的主人
65084	敏感词:王大	电文狗面对自身种族中的百兽王大电文狗，都不免生出畏惧之心。这让方源操纵，更加耗费心力，同时指挥效果还打折扣。
65590	敏感词:王大	“小兽王大人，这个事情最近闹得很大，整个三叉山都知道了。这已经不是个人的私怨，而是象征着正道和我们魔道的争斗！其实大家都在盼着您呢。大人，您一出手，那铁家的蛊师根本抵挡不住。您是我们魔道的天才。我们魔道的旗帜！大人，小人什么话都说了。小人可
65688	敏感词:王大	“小兽王大人，真是稀客！您来我李某人这里，不知道有何贵干呢？”李闲主动出迎，站在方源面前，距离有二十步，就停下来抱拳行礼。
66000	敏感词:王大	“哪里，哪里。能和小兽王大人做买卖，也是我的荣幸。”李闲表现得十分谦虚，把自己的位置放得很低。
66030	敏感词:王大	“小，小兽王大人，您这是为何？！”李闲此刻都能闻到烤肉的味道了。
66698	敏感词:王大	“小兽王大人，铁家这批强援赶到，铁家四老就能腾出手来，对付白凝冰。你要是现在出手，还来得及啊。”李闲满脸恳切地规劝道。
68356	敏感词:王大	“不想小兽王大人，也知道我等的名头啊。”包同摸着自己的胡须，神色上还有些沾沾自喜。
68558	敏感词:王大	李强则主动端起酒杯，向方源敬酒：“小兽王大人的一席话，真是字字千金。这杯酒庆贺阁下斩杀了百岁童子这个力道败类！”
68572	敏感词:王大	“方正大人，您是我的救命恩人呐！”一个干儿子猛地跪下，涕泪交加地喊道，“我是被百岁童子那个家伙逼得认贼做父，小兽王大人您威加四海，气盖八方，救我于水火当中，您是我的救命大恩人呐！”
68574	敏感词:王大	“小兽王大人，您的强悍已经彻底征服了我的心，请让我留下来，伴随您左右，伺候您吧。”一个漂亮的干女儿娇滴滴地哀求道。
68576	敏感词:王大	“小兽王大人，您拯救小的于灾难当中，您的大恩大德我永世不忘。恩同再造，请让我叫您一声干爹！”一个七老八十的老头子，跪倒在地上，动情地呼喊着。
68602	敏感词:王大	李强的酒杯一直端着，没有落下，此时他也忘了尴尬，勉强笑道：“小兽王大人，斩草要除根呐。这些人放走了，万一日后发迹了呢？保险起见，还是都杀了为妙。小兽王大人记不全这些人也不要紧，我记得。由在下代劳，杀掉这些人，算是刚刚情报的谢礼了。”
70594	作者话候选	“可惜，我对骨道了解不深，顶多临时客串一下。真正全部继承这套蛊，发挥出的战力，不会有骷魔的一半。还是先收藏了罢。”方源心中考虑了一下。
72534	敏感词:王二	“呵呵呵。”魔无天瞥了城堡一眼，淡淡地笑了几声，“当年爆王王八蛋，拥有八只蛋人皇后，曰产蛋人无数。信王王小丫的传承中，则有通风报信蛊、百战不殆蛊。狗王王二狗身边，伴有两头犬皇嘤鸣和霸黄。这是三王传承的精髓所在，但通通都不入我的法眼。”
75536	作者话候选	（有些读者同学，我知道境况的，已经尽力支持了。还有许多同学，单单为了本书，注册号订阅。感谢你们的支持！很感动……我这个人不善表达自己的情感，有些木讷。千言万语化为一句话——有诸位在，真好。）
78866	拼音残留	“一，一个人？”葛谣双眼瞪大，嘴巴也张成o形，她不可思议地想着一个念头，“难道先祖在长生天，听到了我的祈祷，真的派下了救兵？！”
82434	敏感词:王大	“磔磔磔磔……”鬼王大笑几声，阴云破裂，蝙蝠失去束缚，立即飞腾而出。
84330	敏感词:王大	“狼王大人，你是我们致胜的关键，还请您退到我们中间，我们来保护你！”
84454	敏感词:王大	“快去救援狼王大人！”这边学堂家老怒吼，向着方源的方向赶去。
84478	敏感词:王大	“狼王大人昏迷了，我们正在施救！”那边学堂家老等人，保护着“昏迷”了的狼王，陷入狼群的包围当中。
85018	作者话候选	红玉散人也呵呵笑道：“鬼王说的有理啊。刚刚的地灾你们也见过了。琅琊福地中收藏着这么多的秘方，很多都涉及到仙蛊，福分太大了，每次灾劫都如此强烈。就算再多的白荔仙元，也要快耗光了吧。”
85026	敏感词:王大	鬼王大喜，磔磔狂笑。
86392	作者话候选	“琅琊福地，传说中收藏了无数秘方的地方。从洞天跌落成福地，当世堪称天下第一福地！更关键的是，这里面更收藏了不少仙蛊。天元宝皇莲首当其冲，我必要得之！”
87214	敏感词:王大	“只可惜让水魔浩激流逃跑了，狼王大人，你看我们是继续追杀水魔，还是突袭严家营地呢？”葛光问道。
88080	敏感词:王大	“狼王大人，成为我族的太上家老了？”
88084	敏感词:王大	“有狼王大人在，我们就有一线生机啊。”
89088	敏感词:王大	“狼王大人，已经成为我族的太上家老。现在和我们是一家人了呢。”
89090	敏感词:王大	“嗯，真是荣幸啊。有狼王大人在我们身边！”
91098	敏感词:王大	片刻之后，仲家的侦察蛊师，带着一脸余悸，向仲费尤回报道：“大人，狼王大获全胜，翻手之间，就剿灭了那处狼巢。四千多头水狼，他收编了近三千头，而他仅仅只损失了三百头。”
91910	敏感词:王大	“手下败将浩激流，见过狼王大人。”水魔心怀惴惴，向方源行礼。
92134	敏感词:王大	“见过狼王大人。”两位蛊师看到方源出来，立即行礼，并汇报道，“黑楼兰大人请大人前去赴宴，有要事相商。”
92784	敏感词:王大	其中一位，还告诉了方源一个好消息：“狼王大人，我们的蛊师在野外幸运地捕捉到了一头鱼翅狼。正关押在笼子里，族长关照下来，若是大人结束了修行，就可到辎重营去，将其收服。”
92794	敏感词:王大	“土波参见狼王大人。”一位三转的蛊师，连忙出来迎接。
92796	敏感词:王大	他长得又矮又胖，肥肥的脸上满是油光，谄媚地道：“狼王大人，小的已经等候多时了，这就领您过去。”
92818	敏感词:王大	“嗯，是的。若非有旧伤，侦察蛊师也难以逃出生天，赶回来报信了。可见狼王大人，得到了长生天的眷顾。在大战来临之际，将一头受了伤的鱼翅狼送到大人您的跟前。”土波拍马屁道。
92868	敏感词:王大	“狼王大人果然见识非凡。”一声女子的轻语，在他耳边响起，随之而来的是涌动的暗影。
92894	敏感词:王大	“狼王大人！”三转蛊师十分惊愕，他赶来是为了保护方源，但万万没有想到，方源居然一把抓住了他。
92912	敏感词:王大	“晚辈无影剑边丝轩，见过狼王大人。”女子对方源微微一礼，身在敌营，众敌环伺，她却好整以暇，从容淡定。
92932	敏感词:王大	“属下来迟一步，请狼王大人恕罪！”
92934	敏感词:王大	“狼王大人，您没有什么事情吧？”
93172	敏感词:王大	“有狼王大人出手相助，任何的防线都能撕破！”立即就有蛊师拍马屁道。
93176	敏感词:王大	“什么刺杀，能要了我们狼王大人的姓命？哼，那都是东方小儿的痴心妄想。不论再来多少次刺杀，咱们也不惧啊。”辎重营的负责蛊师谄笑道。
93200	敏感词:王大	但很快，一个阴测测的声音响起来：“这个狼王大人……我现在算是明白了，难怪当年常家也容忍不了他。”
93226	敏感词:王大	孙湿寒自得一笑，又接着道：“启禀盟主，就在刚刚在下又想到一策，叫做示敌以弱。那东方余亮刺杀狼王常山阴，狼王受到了魂爆蛊的影响，却没有丧命。东方余亮定然会再设计，布置许多手段针对狼王大人。我们不妨后发制人，先令狼王按捺不发。待到大战正烈，破掉
93630	敏感词:王大	“来者是小狐帅唐妙鸣，四转中阶，居然直言挑战狼王大人，必有阴谋算计啊。”
95008	敏感词:王大	“属下拜见狼王大人，狼王大人这边请。”当方源来到辎重营，便立即有专门的女蛊师，带着一脸的微笑，将他引进一座蛊屋中。
95014	敏感词:王大	“狼王大人神武，此次大战，您可是战功榜第一呢！”女蛊师年轻貌美，带着崇拜的目光，将一份卷轴递给方源。
95154	敏感词:王大	“狼王大人居然换了不少的力道蛊，大量的宇道蛊虫，还有数目如此庞大的炼蛊材料。”方源提出要换取的物资，这令女蛊师暗暗惊奇。
95160	敏感词:王大	但狼王大人，要这些宇道蛊虫干什么？
95164	敏感词:王大	还有这些数目惊人的炼蛊材料，难道狼王大人开始对炼道感兴趣了？或者正在研发什么全新的奴道蛊虫？
95174	敏感词:王大	“狼王大人，您要的这些物资，将会在今天陆续为您送去。直至凌晨，必定会全部送达。”女蛊师温声道。
95176	敏感词:王大	方源点点头，正要离去，但这时女蛊师却又小声地道：“狼王大人，请您稍等片刻。这里有一件极为适合您的蛊方，是族长大人特意关照小女子，为您私下扣留的。”
95200	敏感词:王大	“族长亲口嘱咐，若是狼王大人觉得炼蛊繁琐，可以交由炼道蛊师去做。只需要向对方，支付相应的战功即可。若是狼王大人的战功不够，可以先赊五十万。”女蛊师适时地建议道。
96030	敏感词:王大	“狼王大人，您要换取这么多的蛊，您的战功恐怕不够……”负责接待的女蛊师，斟酌着措辞，提醒道。
96876	敏感词:王大	“如果我记得没错，就算有了异兽狼群，但狼王大人的战功可还是倒数第一，战功榜垫底的吧？”狈君子心中充满了嫉妒，装作忽然想起来的样子，“好心”地提醒道。
97222	敏感词:王大	这时，孙湿寒微笑着道：“异兽狼群以及五转潜魂兽衣蛊，都已经到了。但盟军诸将，却因此信犹豫。还盼狼王大人大义灭亲，以释清白。否则，这异兽狼群恐怕……”
97966	敏感词:王大	这时，孙湿寒微笑着道：“异兽狼群以及五转潜魂兽衣蛊，都已经到了。但盟军诸将，却因此信犹豫。还盼狼王大人大义灭亲，以释清白。否则，这异兽狼群恐怕……”
98280	敏感词:王大	“在下常飚，被狼王大人召见。”常飚声音低沉，态度恭谨，向守卫蛊师说明道。
98282	敏感词:王大	两位三转蛊师，表情淡漠地站在门的两边，其中一人答道：“狼王大人正在修行，我们不能进屋通传，你们只能等候！”
98326	敏感词:王大	“狼王大人修行结束，召见你们三人。”门口的护卫蛊师接到传音，面无表情地说道。
99980	敏感词:王大	“尊贵的狼王大人，请容许卑微的在下，敬您一杯酒。”
101020	敏感词:王大	“潘平拜见狼王大人。”
101048	敏感词:王大	“狼王大人，幸好你来了。这传承每七天开启一次，开启时绽放冲天星芒，露出星光门扉。这段时间不仅极短，而且还会有虫群，从星门中喷涌而出，阻挡我们的进入。”潘平微笑着介绍道。
101086	敏感词:王大	潘平大喜：“狼王大人果然厉害！我们都被一叶遮目了。其实消灭虫群并不重要，关键是打开一个通道。这样一来，我们的时间就变得相当充裕。”
101088	敏感词:王大	朱宰亦感慨地道：“有狼王大人带领，是我等的福分呐。”
101094	敏感词:王大	“这，这，狼王大人……”朱宰变了脸色，没有料到方源会公然吃独食。
101202	敏感词:王大	“哈哈哈，恭贺狼王大人，得此传承，如虎添翼。”朱宰则拱手庆贺，绝口不提瓜分之事。
101220	敏感词:王大	潘平猛地色变，单手握住金刀手柄，惊呼道：“狼王大人，你这是做什么？”
101236	敏感词:王大	“狼王大人，你未免太霸道了。我可是你的袍泽，你这是要置我于死地吗？！”他大叫起来，用大义压人。
101242	敏感词:王大	“狼王大人，请您暂息雷霆之怒。潘平不知道天高地厚，言语冒犯了大人，但大人是何等人物，何至于和他这种小小后辈计较呢？”朱宰连忙劝说道。
101254	敏感词:王大	“狼王大人，您还请高抬贵手啊。潘平可要死了！”朱宰神情惶急，再次请求。
101268	敏感词:王大	朱宰浑身一颤，他分明从方源平静的目光中，感受到了暗藏的杀机。他连忙摆手道：“够了，够了，潘平他已经收到足够的教训了。潘平！你还不快点向狼王大人认错！”
101270	敏感词:王大	潘平攥紧拳头，咬紧牙关，沉默了几个呼吸，终于还是闭上双眼，艰难地开口道：“狼王大人，我……认错了！”
101314	敏感词:王大	众人听了，精神一振。很多人不由地心想：狼王大人还是有情有意的，他拿大头那是应该，潘平大人还是太气盛了。
101322	敏感词:王大	“狼王大人说得不错，这些果然都是独一无二的瑰宝。”朱宰扬扬手中的诗集，苦笑连连。
101562	敏感词:王大	方源胯下的万狼**一落地，接引蛊师便迎了上去，拜见道：“狼王大人，您回来了。小的三生有幸，专门负责引您入城。你的居所在第八层，房间也早就为您打扫好了。”
102088	敏感词:王大	作为资格最老的大家老黑沛，此时只能硬着头皮出列，恭敬地行了一礼：“大人，以属下看来，这第五十四关考的是奴道，难度极大，非大师级的造诣不能通过。黑旗胜家老虽然是我们部族培养的奴道蛊师，但他却不是大师。我们要想通过此关，恐怕需要狼王大人的力量了
102136	敏感词:王大	不久，黑书带着一脸惭射，独自回来禀告：“族长大人，狼王大人并不在圣宫，而是外出放养狼群去了。”
102422	敏感词:王大	旋即，家老们眼睛发出了亮光：“我知道了！看来狼王大人广布鱼群，不仅是为了训练，还有调查地形的缘故！”
103860	敏感词:王大	潘平冷哼一声，语气阴阴：“诸位不要忘了，咱们的狼王大人可是早就进过楼里来了。据可靠消息，还得了上等通关。出楼之后，立即选择闭关，就算黑楼兰族长屡次邀约，他都不去呢。”
103892	敏感词:王大	“为今之计，只有请狼王大人出手相助了。”
103894	敏感词:王大	“我们当中，太白老先生您最德高望重，只要您亲手书信一封，必能请得狼王大驾。”
103908	敏感词:王大	这暗线立即会意，在人群中喊道：“要我说，狼王大人曰理万机，恐怕不容易请到。还不如请唐妙鸣大人。她的奴道造诣已经直逼大师境界了。”
105402	敏感词:王大	“狼王大人，葛家、常家族长前来觐见了。”就在这时，有奴仆过来通禀。
105416	敏感词:王大	“回狼王大人的话，战场已经打扫干净，共有……”葛光刚想回报收获，就被方源打断。
105444	敏感词:王大	“狼王大人，你抓我们，意欲何为？你可知道，我乃是黑家族人。若论关系……嘿，黑楼兰大人还是我的表哥呢！”俘虏中，一位年轻蛊师叫出声来。
105454	敏感词:王大	“狼王大人，小的该死！”
107082	敏感词:王大	黑绣衣闻言大怒，但碍于方源地位，只得憋着怒气道，“狼王大人，此战大家都要拼尽全力。现在，唐妙鸣、黑旗胜二位浴血奋战，大人你却作壁上观，这是不是太过分了？”
107118	敏感词:王大	“狼王大人！？”
107122	敏感词:王大	“黑绣衣劝说狼王大人即刻参战，结果双方一言不合，狼王突然暴起，将黑绣衣打飞了！”
107834	敏感词:王大	“哼哼。”孙湿寒冷笑。“狼王大人。这可是仙蛊，你一句话就想拿走？之前我家族长是答应你五成的报酬，但并不代表我们一定要将仙蛊交给你。”
107850	敏感词:王大	“我相信狼王大人，必定能给我们一个交代的。”
112022	作者话候选	方源一直在追逐他梦想，我也一直没有放弃。书友群是讨论书的地方，别问我个人**问题，欢迎不放弃支持的读者朋友们。也请被踢的朋友童鞋们，多多理解，原谅我。
113532	敏感词:王大	“啊，是狼王大人！”马鸿运立即认出来。
124394	作者话候选	“当然！”琅琊地灵微微扬起头颅，傲然地道，“我每得到一道蛊方，都会炼制一些蛊虫进行收藏。小泽蛊、松岛蛊我都各有上百只的收藏品，可以卖给你。不过炼制这些蛊的材料，如今已经绝迹。你需要付出一块仙元石。”
125382	作者话候选	“楼兰，你不要跑了。　章节更新最快你是我的女儿，我怎么会加害于你？你切不可以听信他人的挑拨啊。我们父女之间有着深深的误会。的确，我承认，我手中有阴阳延寿法的传承不假，但此法并不能害人性命。你的母亲真的是因为地灾而亡的。”黑城悬浮在半空中，一
131834	敏感词:王大	一道星芒射来，化为一位中年男子，头戴高冠，宽袖长袍，鼓掌赞叹道：“不愧是仙猴王大人，屠杀荒兽飞熊，只用了半盏茶的功夫。”
132008	敏感词:王大	“仙猴王大人……”一旁，万象星君关切地喊道。
132092	敏感词:王大	万象星君等待片刻，见石磊伤势处理得七七八八，终于忍耐不住，催促道：“可以了吧？时间有限啊，仙猴王大人。第八星殿出现的前提，是七星殿首先形成。七星殿每次出现，只会存在一炷香的时间。七星殿消失，第八星殿也要随之消失的。”
132590	敏感词:王大	一旁的万象星君，一直在不停的遥遥打出星光攻击。听到石磊的叫喊，无奈地传念道：“仙猴王大人，对手势强，您还是别玩了，快用土道主战力吧。”
138076	拼音残留	章节目录 第一百零六节：方源vs楚度
138262	拼音残留	章节目录 第一百零七节：方源vs凤九歌
138300	作者话候选	灵缘斋中对于残缺智道传承，的确有所收藏。但他现在手头中却是没有。他连忙通过仙窍中的洞地蛊，传出消息。联系其他九位中洲蛊仙。
139850	英文残留	还是那句话，老朋友们都知道从来没有太监过！另外修改一个bug，之前说秦百胜是木道蛊仙，现在统一为金道。
139852	拼音残留	章节目录 第一百一十六节：秦百胜vs凤九歌
153670	作者话候选	“这么多年过去了，若是这处山洞没有被发现的话，那么积累的八转仙材石心液就极其可观。我即便用不了，收藏起来也是好的。将来可以放到宝黄天中，以物易物，换取想要的炼蛊仙材！八转仙材，蛊仙们都会十分渴求的。”
159254	作者话候选	这本书只能让我糊口，为什么坚持写到这种程度？坚持到现在？是因为我个人的坚持，还有对所有真心支持我的读者朋友们的回馈。不是写给你们这些“人”的。
159834	拼音残留	章节目录 第二百三十二节：彪悍！琅琊地灵vs秦百胜
166662	作者话候选	有许多读者朋友曾跟我讲：《蛊真人》这本书陪伴他们，渡过了许多人生的重要时刻，见证了他们的成长。对我这个作者而言，其实也同样如此。
169218	敏感词:王大	“焚天魔女大人，不愧是我大僵盟的栋梁。要是其余人等，有你这样的觉悟，何愁僵盟不蒸蒸日上，甚至制霸五域呢？哈哈哈！”尸爆雷王大笑。
191492	拼音残留	章节目录 第十九节：方源vs戚灾
216570	拼音残留	章节目录 第一百四十二节：楚度vs百足天君
216930	拼音残留	章节目录 第一百四十四节：叶凡vs白凝冰
222388	作者话候选	另外，修改了前文的3个bug，八转凤九歌，改为八转战力的凤九歌。凤仙太子主修变化道，之前的“炎道”已经修改。在同一章节，缺少一个“不”字，已经修改完成。
222388	英文残留	另外，修改了前文的3个bug，八转凤九歌，改为八转战力的凤九歌。凤仙太子主修变化道，之前的“炎道”已经修改。在同一章节，缺少一个“不”字，已经修改完成。
224888	拼音残留	血战平原、铁鹰福地、太丘，这三个地点若连成两条线，就像是个不规则的v字。
227256	拼音残留	章节目录 第一百九十八节：方源vs武庸
230440	作者话候选	百足天君笑着摇头：“惭愧。这是日前，我攻打黑凡洞天不下，受挫而悟出来的仙道杀招。我曾经听闻，长生天中收藏了盗天魔尊的仙道杀招成双入对，可令蛊仙分化出一个完全和自己战力相同的分身出来。我的这些手段，还是和盗天魔尊不能相提并论的。”
234376	作者话候选	太白云生主修宙道，但人如故、江山如故两只仙蛊，都落到了方源的手中，在东海时，选修了云道。他原本就有云道基础，影宗收藏丰富，不缺云道真传，此时施展防御手段，也是有模有样。
242538	英文残留	bz：一更，最近状态一直低迷。
251556	拼音残留	打个比方，赤龙江、碧龙江两江交汇，形成仿佛x的形态，交汇处是江心漩涡。而柴家的人烟山，就位于上端，巴家的大宅山位于下方，夏家的延寿山位于右方。
262602	英文残留	qq群、贴吧群、微信，都会有专门的人负责沟通。届时会询问id、电话、地址。毕竟是要寄明信片出去的。
262608	拼音残留	希望以上范围内的书友们都用起点后台，私信我。想要的话，将个人的地址、电话，还有起点id什么的，发给我。
262610	英文残留	地址只要能让你收到明信片就好了。姓名也无需真名，只要能让礼物寄到你手中就好。但是要在私信中标注好个人的起点id。
263094	拼音残留	250906315。加群之后，请先截图（你的起点后台的id图，主要是表明身份），然后私聊群主蛊真人我。然后再报上地址和id吧。活动是第一次举办，的确没有料到会有这个限制，给大家造成了困扰，非常抱歉啊！
264574	作者话候选	通知：因为工作量太大，8月份签名明信片的回馈书友活动，统计名单地址的时间延长一周。当中出现了一些问题，目前正在积极调整，广大书友请多多谅解。另外，明天31号，在8月份的最后一天，我会首次更新一出蛊真人的番外剧情，这是关于某位魔尊的历史往事。
267984	英文残留	希望下列名单中的同学，能够联系我的qq，将详细地址给我。
275494	作者话候选	这一场天劫，让天意发现，本身无法奈何方源后，恐怕就不会再将天劫威能提升到极限了。毕竟这样做，只会给方源增加更多的道痕，除了资敌，一点麻烦都不会制造出来。
285944	拼音残留	章节目录 第五百一十四节：叶凡vs铁若男
289186	作者话候选	方源对琅琊地灵的态度，早已有了心理准备，他笑道：“太上大长老，我们琅琊派收藏了这股意志，长达三十多万年。这股真意一直存放着，没有丝毫动用，这和死物又有什么区别？难道说，你要将这些炼道真意，留给现在的其余毛民蛊仙吗？”。
289474	作者话候选	方源对琅琊地灵的态度，早已有了心理准备，他笑道：“太上大长老，我们琅琊派收藏了这股意志，长达三十多万年。这股真意一直存放着，没有丝毫动用，这和死物又有什么区别？难道说，你要将这些炼道真意，留给现在的其余毛民蛊仙吗？”。
289782	拼音残留	章节目录 第五百三十七节：方源vs井斓
297520	英文残留	非常感谢大家的疑问、建议、批评和指正，若是还有什么问题，欢迎留言给我。我会努力做到蛊师世界的合理和平衡。就比如之前，修改了原文中关于渡劫道痕收获的数量bug。
311228	敏感词:王大	底下一位赤发莽汉便大叫：“战兽王大人，我们还等什么？全世界的战兽勇士几乎都在这里，就等着您一声令下，将这个凶恶的牛头魔神铲除！”
311250	敏感词:王大	“战兽王大人，您的意思是……”
315148	拼音残留	章节目录 第六百九十三节：武庸vs陈衣
315884	作者话候选	“放心，它用的是成双入对杀招，这是我长生天辛苦收藏着的盗天魔尊的手段！它能够催发出一个分身，分身的战力和本体完全一致。”冰塞川嘴角微翘。
316900	作者话候选	因为威信上有抽奖功能，所以后期抽奖赠书，请读者朋友们关注威信公众号“作者蛊真人”。7月份7号、14号、21号、28号会相继抽奖。
364284	作者话候选	“是啊，我整理爹的书简，你知道我爹爱好收藏这些古物。然后偶然间发现，从一份陈年的书简中掉落了一块竹签，上面就是传承线索了。”师姐回忆道。
367560	英文残留	这两次大战需要前后对比，需要层层递进，不能有太多的bug，还需要伏笔。
367822	作者话候选	另外：我会在最近开始大规模地修改前面章节的错别字和bug。造成这些错误，实在是抱歉。欢迎大家在这方面的任何指点。我希望呈现给大家的，是一个越加完善、正确的蛊世界。
367822	英文残留	另外：我会在最近开始大规模地修改前面章节的错别字和bug。造成这些错误，实在是抱歉。欢迎大家在这方面的任何指点。我希望呈现给大家的，是一个越加完善、正确的蛊世界。
368140	英文残留	加入方式：起点app——点开“发现”——进入“活动中心”——找到粉丝战队活动，下拉——加入“蛊仙队”。
368142	作者话候选	另外，关于众筹的意见我看到了。多谢王习平、玄门真人等书友们的热烈号召。我想了想，的确可以搞。不管结果怎样，那其实都是次要的，为了某个目标而付诸行动的热情和谋算，最是可贵。有意向的同学，加我威信guzhenren1987，备注“众筹”，我到时
368506	作者话候选	很多书友询问实体书的筹集，这一次活动筹集多下来的资金，都会用于接下来的实体书众筹。这个活动如果举办，会及时地通知大家，并且会更加正轨，不会这么仓促了。
369812	作者话候选	蛊界群中有人行骗，请诸位书友注意。本人在此郑重声明：实体书众筹的活动还未展开，任何以此为理由，企图让书友们汇款的行为，都是诈骗！
370144	敏感词:王大	冰晶仙王大喜过望，没想到柳暗花明又一村，说话都有点结巴了：“前、前辈您是想？”
372284	敏感词:王大	“天庭！就让你品味一下我镇族的杀招极冰晶光镇仙棺！”冰晶仙王大喝一声，身上狂飙的气势此刻完全收敛至无。
376114	作者话候选	最后，求助广大读者朋友，请大家推荐一下这种类型的书，让我有个成功的范例可以参照。就是——两个故事交叉起来写的，正文是大故事，另外一个小故事具有独立的逻辑和情节线。小故事配合大故事，穿插起来，两个故事相互配合，相互呼应。小故事的形式，通常是寓
376962	作者话候选	“此事不难。气海老祖对我天庭收藏的气道仙蛊，有着极大的兴趣。之前书信往来，他就屡屡商讨要借这些气道仙蛊使用，只是我一直未允，都推托了去。”秦鼎菱微笑。
378930	英文残留	事实上，我非常理解大家的痛苦。因为我不仅是作者，同样也是读者。当我读到某部网文，隔三差五就请假，我的阅读体验会很难受。我会失望，我会失落，我会恼怒，有时候我甚至会暗骂这作者真是个sb！
378932	拼音残留	然而，事实很残酷。尽管我不想承认，但我不得不说，在最近的更新问题上我就是那个sb作者。
379060	作者话候选	建议大家放一放，看看其他优秀的网文。如果实在要看本书，不妨重头来看。很多读者朋友在五刷、六刷。《蛊真人》这本书还是可以反复看的，这点我还是有自信的。
381438	拼音残留	章节目录 第八十节：中计（为blastocyst盟主加更）
382940	作者话候选	许多读者朋友应该可以察觉到，这一次的人祖传和正文之间的联络，更多的是一种对比。两条线之间隐隐呼应。比如《人祖传》中人祖遭遇了一生中最强的困境，方源同样如此。人祖垂死挣扎，幽魂如此，方源也是如此，其他人比如王小二还是如此（王小二是个重要配角，
